feature,importance
기온(°C)_3일_평균,0.65467
수온,0.096962
강수량(mm)_7일_합,0.088877
월,0.035278
월_사인,0.028355
전기전도도,0.025545
지면온도(°C)_3일_평균,0.014822
전기전도도_이전_30,0.013741
일,0.009624
전기전도도_이전_14,0.006926
전기전도도_이전_7,0.006207
월_코사인,0.003934
수리전도도_강수_지표,0.003695
강수량(mm)_3일_합,0.003602
전기전도도_이전_3,0.002581
전기전도도_이전_1,0.001942
현지기압(hPa),0.001449
순강수량,0.000182
습도(%),0.000175
기온(°C),0.000155
상대습도,0.000151
시간_사인,0.000134
시간,0.000127
기압_변화량,9.8e-05
온도차,9e-05
시간_코사인,8.8e-05
풍속(m/s),7.7e-05
전기전도도_변화량,7.4e-05
지면온도(°C),7.1e-05
잠재증발량,6.6e-05
강수량(mm)_이전_3,6.3e-05
강수량(mm)_이전_1,6e-05
강수량_표고_상호,5.2e-05
강수량(mm),4.6e-05
강수량(mm)_이전_7,3.7e-05
강수량(mm)_이전_30,2.9e-05
강수량(mm)_이전_14,1.8e-05
